"2016-06-25 00:00:00",0,2
"2016-06-28 00:00:00",1,0
"2016-06-30 00:00:00",2,0
"2016-07-01 00:00:00",2,0
"2016-07-02 00:00:00",2,0
"2016-07-11 00:00:00",2,0
"2016-07-12 00:00:00",7,0
"2016-07-15 00:00:00",0,3
"2016-07-21 00:00:00",1,6
"2016-07-22 00:00:00",0,3
"2016-07-26 00:00:00",4,0
"2016-07-29 00:00:00",0,3
"2016-08-05 00:00:00",0,7
"2016-08-06 00:00:00",2,0
"2016-08-08 00:00:00",2,0
"2016-08-09 00:00:00",1,0
"2016-08-10 00:00:00",2,0
"2016-08-11 00:00:00",0,4
"2016-08-12 00:00:00",2,0
"2016-08-13 00:00:00",1,0
"2016-08-14 00:00:00",1,0
"2016-08-20 00:00:00",1,0
"2016-08-22 00:00:00",2,0
"2016-08-23 00:00:00",2,1
"2016-08-24 00:00:00",2,0
"2016-08-25 00:00:00",2,0
"2016-08-26 00:00:00",1,3
"2016-08-27 00:00:00",1,0
"2016-08-28 00:00:00",3,0
"2016-09-01 00:00:00",3,3
"2016-09-02 00:00:00",0,7
"2016-09-08 00:00:00",1,0
"2016-09-10 00:00:00",2,0
"2016-09-11 00:00:00",1,3
"2016-09-12 00:00:00",2,1
"2016-09-16 00:00:00",0,15
"2016-09-19 00:00:00",2,0
"2016-09-20 00:00:00",2,0
"2016-09-21 00:00:00",2,0
"2016-09-23 00:00:00",0,2
"2016-10-03 00:00:00",0,3
"2016-10-04 00:00:00",0,3
"2016-10-07 00:00:00",0,4
"2016-10-11 00:00:00",4,4
"2016-10-17 00:00:00",0,1
"2016-10-19 00:00:00",1,0
"2016-11-02 00:00:00",4,0
"2016-11-04 00:00:00",4,0
"2016-11-05 00:00:00",4,0
"2016-11-06 00:00:00",4,0
"2016-11-08 00:00:00",0,16
"2016-11-16 00:00:00",1,0
"2016-11-20 00:00:00",2,0
"2016-11-21 00:00:00",0,1
"2016-11-22 00:00:00",0,1
"2016-11-23 00:00:00",1,0
"2016-11-25 00:00:00",1,0
"2016-11-26 00:00:00",2,0
"2016-11-27 00:00:00",1,0
"2016-11-29 00:00:00",2,0
"2016-12-01 00:00:00",2,0
"2016-12-03 00:00:00",1,0
"2016-12-04 00:00:00",2,0
"2016-12-05 00:00:00",1,1
"2016-12-06 00:00:00",1,0
"2016-12-07 00:00:00",1,5
"2016-12-08 00:00:00",1,0
"2016-12-09 00:00:00",1,0
"2016-12-10 00:00:00",2,0
"2016-12-11 00:00:00",1,0
"2016-12-12 00:00:00",1,0
"2016-12-24 00:00:00",1,0
"2016-12-28 00:00:00",0,1
"2016-12-29 00:00:00",5,0
"2016-12-30 00:00:00",1,0
"2017-01-03 00:00:00",1,4
"2017-01-04 00:00:00",1,0
"2017-01-05 00:00:00",1,1
"2017-01-10 00:00:00",1,0
"2017-01-11 00:00:00",1,2
"2017-01-12 00:00:00",1,1
"2017-01-13 00:00:00",1,0
"2017-01-20 00:00:00",0,8
"2017-01-26 00:00:00",6,0
"2017-02-01 00:00:00",2,0
"2017-02-03 00:00:00",2,0
"2017-02-04 00:00:00",1,0
"2017-02-07 00:00:00",2,0
"2017-02-09 00:00:00",8,0
"2017-02-20 00:00:00",0,3
"2017-03-02 00:00:00",0,5
"2017-03-06 00:00:00",2,0
"2017-03-07 00:00:00",1,6
"2017-03-10 00:00:00",2,0
"2017-03-11 00:00:00",1,0
"2017-03-12 00:00:00",1,0
"2017-03-15 00:00:00",2,0
"2017-03-16 00:00:00",1,1
"2017-03-17 00:00:00",2,0
"2017-03-20 00:00:00",2,0
"2017-03-21 00:00:00",0,2
"2017-03-26 00:00:00",2,0
"2017-03-29 00:00:00",1,2
"2017-04-05 00:00:00",0,3
"2017-04-19 00:00:00",1,0
"2017-04-20 00:00:00",0,2
"2017-04-21 00:00:00",6,0
"2017-04-27 00:00:00",0,1
"2017-05-03 00:00:00",2,0
"2017-05-05 00:00:00",1,2
"2017-05-11 00:00:00",0,1
"2017-05-14 00:00:00",1,0
"2017-05-17 00:00:00",4,0
"2017-05-18 00:00:00",0,3
"2017-05-22 00:00:00",2,0
"2017-05-24 00:00:00",2,0
"2017-05-31 00:00:00",0,1
"2017-06-01 00:00:00",1,0
"2017-06-10 00:00:00",4,0
"2017-06-12 00:00:00",2,0
"2017-06-15 00:00:00",2,0
"2017-06-16 00:00:00",1,1
"2017-06-20 00:00:00",3,0
"2017-07-05 00:00:00",2,0
"2017-07-08 00:00:00",2,0
"2017-07-09 00:00:00",1,0
"2017-07-19 00:00:00",0,2
"2017-07-21 00:00:00",0,3
"2017-07-22 00:00:00",1,0
"2017-07-23 00:00:00",2,0
"2017-07-24 00:00:00",2,0
"2017-07-25 00:00:00",3,0
"2017-07-27 00:00:00",1,0
"2017-08-01 00:00:00",2,0
"2017-08-03 00:00:00",2,0
"2017-08-06 00:00:00",1,0
"2017-08-07 00:00:00",2,0
"2017-08-09 00:00:00",2,0
"2017-08-11 00:00:00",1,0
"2017-08-14 00:00:00",0,1
"2017-08-15 00:00:00",1,0
"2017-08-18 00:00:00",1,0
"2017-08-20 00:00:00",2,0
"2017-08-22 00:00:00",1,0
"2017-08-23 00:00:00",0,5
"2017-08-24 00:00:00",1,0
"2017-08-25 00:00:00",1,0
"2017-08-26 00:00:00",1,0
"2017-08-30 00:00:00",1,0
"2017-09-01 00:00:00",2,0
"2017-09-02 00:00:00",2,0
"2017-09-03 00:00:00",1,0
"2017-09-04 00:00:00",1,0
"2017-09-05 00:00:00",2,0
"2017-09-07 00:00:00",2,0
"2017-09-08 00:00:00",1,0
"2017-09-09 00:00:00",1,0
"2017-09-10 00:00:00",2,0
"2017-09-11 00:00:00",4,1
"2017-09-12 00:00:00",4,1
"2017-09-13 00:00:00",1,0
"2017-09-14 00:00:00",2,2
"2017-09-15 00:00:00",3,0
"2017-09-16 00:00:00",3,0
"2017-09-24 00:00:00",2,0
"2017-09-25 00:00:00",0,1
"2017-09-26 00:00:00",5,0
"2017-09-28 00:00:00",0,4
"2017-10-02 00:00:00",0,3
"2017-10-03 00:00:00",0,2
"2017-10-06 00:00:00",0,5
"2017-10-10 00:00:00",2,0
"2017-10-13 00:00:00",4,12
"2017-10-16 00:00:00",0,1
"2017-10-20 00:00:00",2,0
"2017-10-23 00:00:00",2,0
"2017-10-24 00:00:00",1,1
"2017-10-25 00:00:00",1,0
"2017-10-27 00:00:00",2,3
"2017-10-28 00:00:00",2,0
"2017-10-29 00:00:00",1,0
"2017-10-31 00:00:00",0,1
"2017-11-01 00:00:00",4,0
"2017-11-02 00:00:00",4,3
"2017-11-03 00:00:00",5,0
"2017-11-09 00:00:00",0,2
"2017-11-10 00:00:00",2,3
"2017-11-14 00:00:00",1,0
"2017-11-16 00:00:00",1,0
"2017-11-17 00:00:00",2,2
"2017-11-18 00:00:00",1,0
"2017-11-19 00:00:00",1,0
"2017-11-21 00:00:00",2,1
"2017-11-22 00:00:00",1,0
"2017-11-24 00:00:00",1,11
"2017-11-25 00:00:00",1,0
"2017-11-26 00:00:00",3,0
